Libellé;Catégorie
ABEILLE IARD ET SANT-ABEILLE I;Assurance véhicule
Achat Comptant;Achats, ventes de titres
Achat Comptant;Achats, ventes de titres
ADIDAS;Equipement sports, loisirs
AEROPORT LO PSS;Parking, péages, PV
APRR AUTOROUTE 21850;Parking, péages, PV
APRR FONTAINE-LA ST APOLLINAIRE;Parking, péages, PV
APRR SAINT MAURI ST APOLLINAIRE;Parking, péages, PV
ARCOS;Santé, prévoyance
ASF-LANCON VEDENE CEDEX 8;Parking, péages, PV
ASF-VIENNE VEDENE CEDEX 8;Parking, péages, PV
AUCHAN STRASBOUR STRASBOURG;Alimentation, supermarché
AVIVA ASSURANCES-ABEILLE IARD;Assurance véhicule
AXA FRANCE VIE;Frais, remb santé
AXA FRANCE VIE;Frais, remb santé
BENZAT EL HASSAN2;Restaurants, soirées
Bouygues Telecom;Internet, TV, télécom
Bouygues Telecom;Internet, TV, télécom
BP ST FONS PORT SAINT FONS;Carburant
CARREF LILLEGL;Alimentation, supermarché
CARREF LILLELGL;Alimentation, supermarché
CARREF LILLELGL;Alimentation, supermarché
CARREF LILLELGL Lille;Alimentation, supermarché
CARREFOUR MGL;Alimentation, supermarché
CARREFOUR MGL;Alimentation, supermarché
CARREFOUR MGL;Alimentation, supermarché
CARREFOUR MGL;Alimentation, supermarché
CARREFOUR MGL Lille;Alimentation, supermarché
CASH CONVERTERS;Restaurants, soirées
CELIO 00756;Habillement, accessoires
CHICHOUMEILLE;A catégoriser
DAC AUCHAN CARBU STRASBOURG;Carburant
E.LECLERC ORSCHWILLER;Alimentation, supermarché
ELECTRO DEPOT FRA;Meubles, équipement
ELF HAGUENAU HAGUENAU;Carburant
FRANPRIX 8750;Alimentation, supermarché
Free Telecom;Internet, TV, télécom
Free Telecom;Internet, TV, télécom
GRAND FRAIS;Alimentation, supermarché
GRAND FRAIS;Alimentation, supermarché
GRAND FRAIS;Alimentation, supermarché
GRAND FRAIS;Alimentation, supermarché
GRAND FRAIS;Alimentation, supermarché
GRAND FRAIS;Alimentation, supermarché
HPP;Parking, péages, PV
INDIGO/;Parking, péages, PV
INDIGO/;Parking, péages, PV
INST prénom nom;Virements internes
IT TRATTORIA;Restaurants, soirées
IT TRATTORIA;Restaurants, soirées
IVOIRE RESTAU CH;Restaurants, soirées
JUMPER TRAMPOLIN;Activités enfants
LE COIN DU GRILL STRASBOURG;Restaurants, soirées
LE COIN DU GRILL STRASBOURG;Restaurants, soirées
LECLERC Lyon;Alimentation, supermarché
LEZZIZ;Restaurants, soirées
LEZZIZ;Restaurants, soirées
LEZZIZ;Restaurants, soirées
LYDIA APP 4;Dépenses vie courante
LYDIA APP 4;Dépenses vie courante
MAAZKA;Snacks, repas au travail
MAXICOFFEE EST NEUVES MAISONS;Snacks, repas au travail
MAXICOFFEE SHOP;Snacks, repas au travail
MAXICOFFEE SHOP Lyon;Snacks, repas au travail
MEZZO;Restaurants, soirées
MONOPRIX 4;Alimentation, supermarché
MOULIN;Snacks, repas au travail
MOULIN GRANS;Snacks, repas au travail
MOULIN GRANS;Snacks, repas au travail
MOULIN GRANS;Snacks, repas au travail
NORMAL LYO;Shopping/e-Commerce
OTACOS 4;Restaurants, soirées
PDP 3659 MTP SC;Alimentation, supermarché
PEAGE AUTOROUTE PARIS RHIN RHO;Parking, péages, PV
PHARMACIE GRAND 2;Frais, remb santé
PKG ROUET AUTOMA2;Parking, péages, PV
RATP 4;Transports en commun
RATP 4;Transports en commun
RELAIS DES MARCH MARCHAUX;Carburant
RETRAIT DAB Lille A;Retraits d'espèces
RETRAIT DAB Lyon A;Retraits d'espèces
Revolut;Achats, ventes de titres
TAXE TRANSAC FINAN;Remb. prêt conso
TAXE TRANSAC FINAN;Remb. prêt conso
TOTAL Lyon 8;Carburant
Virement de prénom nom;Virements internes
Virement de prénom nom;Virements internes
Virement de prénom nom;Virements internes
Virement de prénom nom;Virements internes
Virement de prénom nom;Virements internes
Virement de prénom nom;Loyer
Virement de prénom nom;Virements internes
Virement de prénom nom;Virements internes
Virement de prénom nom;Hors budget
Virement de prénom nom;Virements internes
Virement de prénom nom;Virements internes
Virement de prénom nom;Virements internes
Virement de prénom nom;Virements internes
Virement de prénom nom;Virements internes
Virement de prénom nom;Virements internes
Virement de prénom nom;Virements internes
Virement de prénom nom;Virements internes